region,year,invest_total_mln_rub,sports_facilities_count,sports_facilities_per_10k_rural_pop,sports_schools_count,retail_shops_count,retail_shops_per_10k_rural_pop,catering_units_count,catering_units_per_10k_rural_pop,service_units_count,service_units_per_10k_rural_pop,household_service_points_count,household_service_points_per_10k_rural_pop,post_offices_count,post_offices_per_10k_rural_pop,housing_input_total_thousand_m2,housing_input_individual_share_percent,waste_removal_objects_count,container_sites_count,length_streets_total_km,length_streets_hard_surface_km,length_local_roads_km,length_hard_surface_roads_km,natural_resource_enterprises_count,natural_resource_enterprises_per_10k_rural_pop,fixed_assets_total_mln_rub,fixed_assets_per_capita_rub,housing_stock_total,housing_stock_per_capita,infrastructure_stock_total,infrastructure_stock_per_capita,health_facilities_count,health_facilities_per_10k_rural_pop,tourist_beds_count,tourist_beds_per_10k_rural_pop
Воронежская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,2212.0
Воронежская область,2022,730649.0,3286.0,3213.0,27.0,,,86.0,1826.0,,,80.0,6.0,1545.0,1455.0,855031.0,,2164.16,462.46,15759.8,10418.8,16421.5,8711.8,327.0,89.0,18.0,454.0,500.0,15844.0,309.0,8531.0,815.0,,80.0,2384.0
Воронежская область,2023,650506.0,,,,,,,,,,,,,,,,,,,,16396.1,9378.7,,,18.0,454.0,500.0,15844.0,309.0,8531.0,,,101.0,2933.0
Воронежская область,2024,586082.0,3303.0,3235.0,27.0,,,,,,,73.0,4.0,,,,,2211.5846,422.2841,16343.3,11631.026,16358.9,9789.5,313.0,17002.0,,,,,,,836.0,,119.0,3327.0
Еврейская автономная область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,97.0
Еврейская автономная область,2022,14922.0,262.0,244.0,6.0,,,,,,,1.0,,88.0,81.0,12837.0,,117.36,40.43,1077.8,357.2,1294.2,1194.7,37.0,23.0,2.0,89.0,42.0,3986.0,19.0,2280.0,82.0,,7.0,99.0
Еврейская автономная область,2023,7954.0,,,,,,,,,,,,,,,,,,,,1334.4,1278.7,,,2.0,89.0,42.0,3986.0,19.0,2280.0,,,12.0,421.0
Еврейская автономная область,2024,27187.0,283.0,269.0,10.0,,,,,,,6.0,1.0,,,,,109.7904,39.8492,1037.1,364.584,1336.1,1280.5,35.0,1403.0,,,,,,,83.0,,12.0,423.0
Забайкальский край,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1133.0
Забайкальский край,2022,293761.0,1009.0,941.0,53.0,,,24.0,980.0,,,42.0,2.0,705.0,629.0,48652.0,,461.75,86.08,7153.4,1183.8,11826.7,4605.8,303.0,199.0,19.0,380.0,481.0,11737.0,235.0,4295.0,570.0,,63.0,1230.0
Забайкальский край,2023,63919.0,,,,,,,,,,,,,,,,,,,,11775.8,4932.1,,,19.0,380.0,481.0,11737.0,235.0,4295.0,,,119.0,2453.0
Забайкальский край,2024,143311.0,1043.0,979.0,53.0,,,,,,,35.0,2.0,,,,,361.1864,100.111,9124.0,1401.019,11913.5,4972.2,225.0,8580.0,,,,,,,542.0,,132.0,2779.0
Ивановская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1332.0
Ивановская область,2022,187000.0,667.0,590.0,3.0,,,13.0,391.0,,,8.0,1.0,2578.0,1667.0,190828.0,,422.94,83.39,3399.1,1826.9,5686.8,2046.4,99.0,59.0,26.0,69.0,407.0,2275.0,182.0,623.0,289.0,,22.0,1010.0
Ивановская область,2023,173641.0,,,,,,,,,,,,,,,,,,,,5777.1,2090.6,,,26.0,69.0,407.0,2275.0,182.0,623.0,,,26.0,1278.0
Ивановская область,2024,215708.0,715.0,637.0,3.0,,,,,,,7.0,,,,,,579.647,95.505,3561.2,2174.714,5803.0,2100.3,95.0,3489.0,,,,,,,322.0,,27.0,1330.0
Иркутская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,3159.0
Иркутская область,2022,5606148.0,1377.0,1296.0,39.0,,,78.0,2284.0,,,16.0,1.0,1301.0,746.0,652933.0,,772.17,967.77,9686.2,4951.3,10738.0,6952.1,397.0,292.0,6.0,955.0,181.0,14909.0,77.0,6994.0,741.0,,151.0,3349.0
Иркутская область,2023,850673.0,,,,,,,,,,,,,,,,,,,,10894.2,7222.1,,,6.0,955.0,181.0,14909.0,77.0,6994.0,,,214.0,5799.0
